Date,Open,High,Low,Close,Volume,ADJ Close Stock
04-01-2010,213.429998,214.499996,212.380001,214.009998,123432400,27.727039
05-01-2010,214.599998,215.589994,213.249994,214.379993,150476200,27.774976
06-01-2010,214.379993,215.23,210.750004,210.969995,138040000,27.333178
07-01-2010,211.75,212.000006,209.050005,210.58,119282800,27.28265
08-01-2010,210.299994,212.000006,209.060005,211.980005,111902700,27.464034
11-01-2010,212.799997,213.000002,208.450005,210.110003,115557400,27.221758
12-01-2010,209.189995,209.769995,206.419998,207.720001,148614900,26.91211
13-01-2010,207.870005,210.929995,204.099998,210.650002,151473000,27.29172
14-01-2010,210.110003,210.459997,209.020004,209.43,108223500,27.133657
15-01-2010,210.929995,211.599997,205.869999,205.93,148516900,26.680198
19-01-2010,208.330002,215.189999,207.240004,215.039995,182501900,27.860485
20-01-2010,214.910006,215.549994,209.500002,211.73,153038200,27.431644
21-01-2010,212.079994,213.309996,207.210003,208.069996,152038600,26.957455
22-01-2010,206.780006,207.499996,197.16,197.75,220441900,25.620401
25-01-2010,202.510002,204.699999,200.190002,203.070002,266424900,26.309658
26-01-2010,205.950001,213.710005,202.580004,205.940001,466777500,26.681494
27-01-2010,206.849995,210.58,199.530001,207.880005,430642100,26.93284
28-01-2010,204.930004,205.500004,198.699995,199.289995,293375600,25.819922
29-01-2010,201.079996,202.199995,190.250002,192.060003,311488100,24.883208
01-02-2010,192.369997,196,191.299999,194.729998,187469100,25.229131
02-02-2010,195.909998,196.319994,193.379993,195.859997,174585600,25.375533
03-02-2010,195.169994,200.200003,194.420004,199.229994,153832000,25.812149
04-02-2010,196.730003,198.370001,191.570005,192.050003,189413000,24.881912
05-02-2010,192.630003,196,190.850002,195.460001,212576700,25.32371
08-02-2010,195.690006,197.880003,193.999994,194.119997,119567700,25.1501
09-02-2010,196.419996,197.499994,194.749998,196.190004,158221700,25.418289
10-02-2010,195.889997,196.6,194.26,195.120007,92590400,25.27966
11-02-2010,194.880001,199.750006,194.059996,198.669994,137586400,25.739595
12-02-2010,198.109995,201.639996,195.500002,200.379993,163867200,25.961142
16-02-2010,201.940002,203.690002,201.520006,203.399996,135934400,26.352412
17-02-2010,204.190001,204.310003,200.860004,202.550003,109099200,26.242287
18-02-2010,201.629995,203.889994,200.920006,202.929998,105706300,26.291519
19-02-2010,201.860001,203.200005,201.109997,201.669996,103867400,26.128274
22-02-2010,202.339998,202.500002,199.190006,200.419994,97640900,25.966324
23-02-2010,199.999998,201.330002,195.709993,197.059998,143773700,25.531005
24-02-2010,198.229998,201.440004,197.840002,200.66,115141600,25.997419
25-02-2010,197.380005,202.859997,196.889994,202.000004,166281500,26.17103
26-02-2010,202.379999,205.169996,202.000004,204.619997,126865200,26.510475
01-03-2010,205.749996,209.500002,205.450003,208.990004,137523400,27.076651
02-03-2010,209.929998,210.830006,207.740002,208.85,141636600,27.058512
03-03-2010,208.940002,209.869997,207.940006,209.329998,93013200,27.120701
04-03-2010,209.279997,210.919994,208.629995,210.710003,91510300,27.299493
05-03-2010,214.940006,219.699995,214.629999,218.950005,224905100,28.367064
08-03-2010,220.010002,220.090004,218.250002,219.079994,107472400,28.383906
09-03-2010,218.310003,224.999996,217.889994,223.020004,230064800,28.894372
10-03-2010,223.829996,225.480007,223.199995,224.839993,149054500,29.130168
11-03-2010,223.909998,225.500008,223.319998,225.500008,101425100,29.21568
12-03-2010,227.37001,227.729992,225.75,226.600006,104080900,29.358195
15-03-2010,225.380005,225.500008,220.249994,223.839996,123375700,29.000609
16-03-2010,224.180004,224.979996,222.510006,224.449997,111727000,29.079641
17-03-2010,224.899994,226.449989,223.269997,224.120003,112739200,29.036887
18-03-2010,224.100002,224.999996,222.609995,224.650002,85527400,29.105553
19-03-2010,224.790005,225.240002,221.230003,222.25,139861400,28.79461
22-03-2010,220.469999,225.999992,220.150005,224.750004,114104900,29.11851
23-03-2010,225.640011,228.780003,224.100002,228.359993,150607800,29.586218
24-03-2010,227.640003,230.200008,227.509987,229.370003,149445100,29.717075
25-03-2010,230.919998,230.970013,226.250011,226.649994,135571100,29.364671
26-03-2010,228.949993,231.950008,228.550011,230.899998,160218800,29.9153
29-03-2010,232.999992,233.869999,231.619987,232.389992,135186100,30.108343
30-03-2010,236.599995,237.479988,234.250008,235.849991,131827500,30.556619
31-03-2010,235.490009,236.610008,234.459999,235.000011,107664900,30.446496
01-04-2010,237.41,238.730003,232.75,235.969994,150786300,30.572166
05-04-2010,234.980011,238.509998,234.769993,238.489998,171126900,30.898657
06-04-2010,238.200005,240.239998,237.000004,239.540009,111754300,31.034696
07-04-2010,239.549995,241.92001,238.659988,240.600006,157125500,31.172029
08-04-2010,240.440002,241.540001,238.040001,239.950005,143247300,31.087815
09-04-2010,241.430012,241.889996,240.460003,241.789993,83545700,31.326203
12-04-2010,242.199989,243.069996,241.809994,242.290005,83256600,31.390984
13-04-2010,241.860008,242.800003,241.110004,242.430008,76552700,31.409123
14-04-2010,245.280006,245.810005,244.069992,245.690002,101019100,31.831486
15-04-2010,245.779991,249.029999,245.509998,248.92001,94196200,32.249965
16-04-2010,248.569988,251.140007,244.550003,247.400002,187636400,32.053033
19-04-2010,247.030006,247.889999,241.769993,247.070007,141731100,32.010279
20-04-2010,248.540001,249.250004,242.960007,244.590004,184581600,31.688971
21-04-2010,258.799995,260.249989,255.729992,259.220005,245597800,33.584427
22-04-2010,258.240009,266.750004,256.199989,266.469997,198356200,34.523733
23-04-2010,267.990005,272.180008,266.999996,270.82999,199238900,35.088612
26-04-2010,271.880001,272.459988,268.19001,269.5,119767200,34.916299
